Year,Corp. ID,Corp Name,Sch. ID,School Name,"Took SAT
N","Graduates
N", Graduates Taking SAT,Avg  Composite (Math and Verbal),"Avg SAT
Math Score",Avg SAT Reading Score
2017-18,0015,Adams Central Community Schools,0021,Adams Central High School,50,81,61.73,1101.0,537.4,563.6
2017-18,0025,North Adams Community Schools,0029,Bellmont Senior High School,89,136,65.44,1129.1,567.4,561.7
2017-18,0035,South Adams Schools,0023,South Adams High School,47,87,54.02,1113.0,554.5,558.5
2017-18,0125,M S D Southwest Allen County Schls,0047,Homestead Senior High School,413,532,77.63,1167.3,582.0,585.3
2017-18,0225,Northwest Allen County Schools,0091,Carroll High School,438,543,80.66,1138.1,572.5,565.6
2017-18,0235,Fort Wayne Community Schools,0101,North Side High School,176,335,52.54,994.9,484.1,510.7
2017-18,0235,Fort Wayne Community Schools,0102,R Nelson Snider High School,270,428,63.08,1056.7,523.7,533.0
2017-18,0235,Fort Wayne Community Schools,0105,South Side High School,122,252,48.41,966.1,476.6,489.4
2017-18,0235,Fort Wayne Community Schools,0177,Wayne High School,105,235,44.68,999.8,492.7,507.1
2017-18,0235,Fort Wayne Community Schools,0219,Northrop High School,263,473,55.60,1054.0,525.8,528.2
2017-18,0255,East Allen County Schools,0049,Leo Junior/Senior High School,163,203,80.30,1110.2,545.9,564.4
2017-18,0255,East Allen County Schools,0081,Heritage Jr/Sr High School,53,131,40.46,1032.3,511.1,521.1
2017-18,0255,East Allen County Schools,0285,Woodlan Jr/Sr High School,70,111,63.06,1061.7,523.9,537.9
2017-18,0255,East Allen County Schools,0297,New Haven Jr/Sr High School,119,218,54.59,962.6,468.3,494.3
2017-18,0255,East Allen County Schools,0394,East Allen University,48,64,75.00,1062.3,525.8,536.5
2017-18,0365,Bartholomew Con School Corp,0397,Columbus North High School,229,430,53.26,1181.7,598.0,583.6
2017-18,0365,Bartholomew Con School Corp,0399,Columbus East High School,162,347,46.69,1143.6,573.6,570.0
2017-18,0370,Flat Rock-Hawcreek School Corp,0410,Hauser Jr-Sr High School,46,69,66.67,1051.5,532.8,518.7
2017-18,0395,Benton Community School Corp,0445,Benton Central Jr-Sr High School,99,130,76.15,1061.0,528.5,532.5
2017-18,0515,Blackford County Schools,0489,Blackford Jr-Sr High School,51,120,42.50,1030.8,500.4,530.4
2017-18,0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,92,127,72.44,1059.5,521.4,538.0
2017-18,0630,Zionsville Community Schools,0512,Zionsville Community High School,424,483,87.78,1212.6,608.0,604.6
2017-18,0665,Lebanon Community School Corp,0553,Lebanon Senior High School,131,213,61.50,1100.9,551.3,549.6
2017-18,0670,Brown County School Corporation,0573,Brown County High School,142,157,90.45,1007.2,497.8,509.4
2017-18,0750,Carroll Consolidated School Corp,0621,Carroll Senior High School,53,86,61.63,1080.4,539.1,541.3
2017-18,0755,Delphi Community School Corp,0637,Delphi Community High School,67,85,78.82,1043.1,514.8,528.4
2017-18,0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,45,74,60.81,1069.8,537.3,532.4
2017-18,0815,Lewis Cass Schools,0689,Lewis Cass High School,56,97,57.73,1098.8,544.8,553.9
2017-18,0875,Logansport Community Sch Corp,0701,Logansport Community High School,152,260,58.46,1036.8,518.8,518.0
2017-18,0940,West Clark Community Schools,0765,Henryville Jr & Sr High School,38,88,43.18,1012.1,490.3,521.8
2017-18,0940,West Clark Community Schools,0777,Silver Creek High School,100,205,48.78,1096.4,540.2,556.2
2017-18,0940,West Clark Community Schools,0813,William W Borden High School,27,48,56.25,1051.5,523.3,528.1
2017-18,1000,Clarksville Community School Corp,0833,Clarksville Senior High School,40,108,37.04,936.0,450.3,485.8
2017-18,1010,Greater Clark County Schools,0809,New Washington Middle/High School,11,43,25.58,1196.4,586.4,610.0
2017-18,1010,Greater Clark County Schools,0821,Charlestown Senior High School,16,177,9.04,1163.1,580.6,582.5
2017-18,1010,Greater Clark County Schools,0849,Jeffersonville High School,48,473,10.15,1078.3,534.8,543.5
2017-18,1125,Clay Community Schools,0897,Clay City Jr-Sr High School,33,54,61.11,1087.3,533.6,553.6
2017-18,1125,Clay Community Schools,0933,Northview High School,107,181,59.12,1043.1,517.3,525.8
2017-18,1150,Clinton Central School Corporation,0957,Clinton Central Junior-Senior HS,31,53,58.49,1084.2,541.0,543.2
2017-18,1160,Clinton Prairie School Corporation,0977,Clinton Prairie Jr-Sr High School,30,65,46.15,1092.3,539.7,552.7
2017-18,1170,Community Schools of Frankfort,0997,Frankfort High School,99,202,49.01,992.1,491.9,500.2
2017-18,1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,39,60,65.00,1079.7,536.9,542.8
2017-18,1300,Crawford County Community Sch Corp,1059,Crawford County High School,41,100,41.00,1023.4,511.0,512.4
2017-18,1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,30,43,69.77,1195.7,603.0,592.7
2017-18,1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,52,73,71.23,1043.7,511.3,532.3
2017-18,1405,Washington Community Schools,1125,Washington High School,82,154,53.25,1065.6,531.8,533.8
2017-18,1560,Sunman-Dearborn Com Sch Corp,7213,East Central High School,181,290,62.41,1090.3,543.4,546.9
2017-18,1600,South Dearborn Community Sch Corp,1179,South Dearborn High School,43,171,25.15,1064.4,526.3,538.1
2017-18,1620,Lawrenceburg Community School Corp,1177,Lawrenceburg High School,79,149,53.02,1096.2,542.7,553.5
2017-18,1655,Decatur County Community Schools,1263,South Decatur Jr-Sr High School,39,66,59.09,1074.9,537.2,537.7
2017-18,1655,Decatur County Community Schools,1267,North Decatur Jr-Sr High School,45,75,60.00,1052.0,524.4,527.6
2017-18,1730,Greensburg Community Schools,1268,Greensburg Community High School,92,144,63.89,1048.0,512.6,535.4
2017-18,1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High School,32,92,34.78,1088.1,540.6,547.5
2017-18,1820,Garrett-Keyser-Butler Com Sch Corp,1325,Garrett High School,49,134,36.57,1063.7,523.5,540.2
2017-18,1835,DeKalb Co Ctl United Sch Dist,1345,DeKalb High School,135,244,55.33,1111.2,559.7,551.5
2017-18,1875,Delaware Community School Corp,1369,Delta High School,132,181,72.93,1089.6,541.8,547.8
2017-18,1885,Wes-Del Community Schools,1372,Wes-Del Middle/Senior High School,41,71,57.75,1073.2,520.5,552.7
2017-18,1895,Liberty-Perry Community Sch Corp,1375,Wapahani High School,54,88,61.36,1066.9,530.4,536.5
2017-18,1900,Cowan Community School Corp,1386,Cowan High School,43,57,75.44,1015.1,494.0,521.2
2017-18,1910,Yorktown Community Schools,1389,Yorktown High School,128,177,72.32,1116.4,552.6,563.8
2017-18,1940,Daleville Community Schools,1401,Daleville Jr-Sr High School,43,61,70.49,1066.7,526.0,540.7
2017-18,1970,Muncie Community Schools,1421,Muncie Central High School,122,271,45.02,1036.8,518.6,518.2
